prod,prod,pond
SERVICIODESUSCRIPCIONENLINEA,PRODUCTO_SERVICIODESUSCRIPCIONENLINEA,0.0287
JUEGOSDEAZAR,PRODUCTO_JUEGOSDEAZAR,0.02478
TEXTOESCOLAR,PRODUCTO_TEXTOESCOLAR,0.17324
LIBRO,PRODUCTO_LIBRO,0.22681
DIARIO,PRODUCTO_DIARIO,0.0714
CUADERNO,PRODUCTO_CUADERNO,0.21817
MATERIALESPARAARTESMANUALES,PRODUCTO_MATERIALESPARAARTESMANUALES,0.09202
ARTICULOSDEESCRITORIO,PRODUCTO_ARTICULOSDEESCRITORIO,0.03565
PAQUETETURISTICO,PRODUCTO_PAQUETETURISTICO,0.76585
SERVICIODEEDUCACIONDEJARDININFANTIL,PRODUCTO_SERVICIODEEDUCACIONDEJARDININFANTIL,0.29383
SERVICIODEEDUCACIONDETRANSICION,PRODUCTO_SERVICIODEEDUCACIONDETRANSICION,0.21585
SERVICIODEEDUCACIONDE1°CICLODELAENSEÑANZABASICA,PRODUCTO_SERVICIODEEDUCACIONDE1°CICLODELAENSEÑANZABASICA,0.64393
SERVICIODEEDUCACIONDE2°CICLODELAENSEÑANZABASICA,PRODUCTO_SERVICIODEEDUCACIONDE2°CICLODELAENSEÑANZABASICA,0.5697
SERVICIODEEDUCACIONDELAENSEÑANZAMEDIA,PRODUCTO_SERVICIODEEDUCACIONDELAENSEÑANZAMEDIA,0.64279
SERVICIODEPREUNIVERSITARIO,PRODUCTO_SERVICIODEPREUNIVERSITARIO,0.16925
SERVICIODEENSEÑANZAENCENTROSDEFORMACIONTECNICA,PRODUCTO_SERVICIODEENSEÑANZAENCENTROSDEFORMACIONTECNICA,0.14346
SERVICIODEENSEÑANZAENINSTITUTOPROFESIONAL,PRODUCTO_SERVICIODEENSEÑANZAENINSTITUTOPROFESIONAL,0.61738
SERVICIODEENSEÑANZAUNIVERSITARIA,PRODUCTO_SERVICIODEENSEÑANZAUNIVERSITARIA,2.49843
SERVICIODEENSEÑANZADEPOSTGRADOYPOSTITULO,PRODUCTO_SERVICIODEENSEÑANZADEPOSTGRADOYPOSTITULO,0.26762
CURSOSDECAPACITACION,PRODUCTO_CURSOSDECAPACITACION,0.53344
ALIMENTOSCONSUMIDOSFUERADELHOGAR,PRODUCTO_ALIMENTOSCONSUMIDOSFUERADELHOGAR,3.10518
SANDWICHYCOMPLETOCONSUMIDOFUERADELHOGAR,PRODUCTO_SANDWICHYCOMPLETOCONSUMIDOFUERADELHOGAR,0.57601
BEBIDAALCOHOLICACONSUMIDAFUERADELHOGAR,PRODUCTO_BEBIDAALCOHOLICACONSUMIDAFUERADELHOGAR,0.16398
BEBIDANOALCOHOLICACONSUMIDAFUERADELHOGAR,PRODUCTO_BEBIDANOALCOHOLICACONSUMIDAFUERADELHOGAR,0.33339
HELADOSYPOSTRESCONSUMIDOSFUERADELHOGAR,PRODUCTO_HELADOSYPOSTRESCONSUMIDOSFUERADELHOGAR,0.08952
PLATOSPREPARADOSPARALLEVAR,PRODUCTO_PLATOSPREPARADOSPARALLEVAR,1.60063
SERVICIODEALOJAMIENTOTURISTICO,PRODUCTO_SERVICIODEALOJAMIENTOTURISTICO,0.51476
SERVICIOSDEPELUQUERIA,PRODUCTO_SERVICIOSDEPELUQUERIA,0.28677
