Fecha,Dia,Mes,Year,a,b
24.06.2015,24,6,2015,633.15,
25.06.2015,25,6,2015,631.35,
26.06.2015,26,6,2015,635.4,
29.06.2015,29,6,2015,640.12,
30.06.2015,30,6,2015,639.27,
01.07.2015,1,7,2015,638.85,651.3891304
02.07.2015,2,7,2015,635,
03.07.2015,3,7,2015,637.01,
06.07.2015,6,7,2015,641.62,
07.07.2015,7,7,2015,649.5,
08.07.2015,8,7,2015,652.16,
09.07.2015,9,7,2015,646.3,
10.07.2015,10,7,2015,647.67,
13.07.2015,13,7,2015,643.2,
14.07.2015,14,7,2015,641.62,
15.07.2015,15,7,2015,643.14,
16.07.2015,16,7,2015,642.72,
17.07.2015,17,7,2015,646.05,
20.07.2015,20,7,2015,649.75,
21.07.2015,21,7,2015,651.4,
22.07.2015,22,7,2015,653.98,
23.07.2015,23,7,2015,656.85,
24.07.2015,24,7,2015,660.8,
27.07.2015,27,7,2015,665.93,
28.07.2015,28,7,2015,665.6,
29.07.2015,29,7,2015,666.66,
30.07.2015,30,7,2015,671.89,
31.07.2015,31,7,2015,674.25,
03.08.2015,3,8,2015,680.3,689.0604762
04.08.2015,4,8,2015,682.45,
05.08.2015,5,8,2015,681.75,
06.08.2015,6,8,2015,679.26,
07.08.2015,7,8,2015,678.4,
10.08.2015,10,8,2015,673.33,
11.08.2015,11,8,2015,681.54,
12.08.2015,12,8,2015,683.8,
13.08.2015,13,8,2015,685.25,
14.08.2015,14,8,2015,685.04,
17.08.2015,17,8,2015,691.27,
18.08.2015,18,8,2015,693.94,
19.08.2015,19,8,2015,693.91,
20.08.2015,20,8,2015,688.66,
21.08.2015,21,8,2015,698.12,
24.08.2015,24,8,2015,704.45,
25.08.2015,25,8,2015,706.19,
26.08.2015,26,8,2015,704.82,
27.08.2015,27,8,2015,693.78,
28.08.2015,28,8,2015,691.14,
31.08.2015,31,8,2015,692.87,
01.09.2015,1,9,2015,692.58,691.1786364
02.09.2015,2,9,2015,689.73,
03.09.2015,3,9,2015,689.12,
04.09.2015,4,9,2015,692.44,
07.09.2015,7,9,2015,694.29,
08.09.2015,8,9,2015,691.07,
09.09.2015,9,9,2015,690.74,
10.09.2015,10,9,2015,685.25,
11.09.2015,11,9,2015,687.94,
14.09.2015,14,9,2015,688.08,
15.09.2015,15,9,2015,684.05,
16.09.2015,16,9,2015,676.8,
17.09.2015,17,9,2015,673.5,
18.09.2015,18,9,2015,679,
21.09.2015,21,9,2015,684.82,
22.09.2015,22,9,2015,698.45,
23.09.2015,23,9,2015,703.7,
24.09.2015,24,9,2015,697.05,
25.09.2015,25,9,2015,700.7,
28.09.2015,28,9,2015,706.17,
29.09.2015,29,9,2015,704.1,
30.09.2015,30,9,2015,696.35,
01.10.2015,1,10,2015,696.1,684.1631818
02.10.2015,2,10,2015,688.95,
05.10.2015,5,10,2015,683.1,
06.10.2015,6,10,2015,680.8,
07.10.2015,7,10,2015,679.39,
08.10.2015,8,10,2015,677.55,
09.10.2015,9,10,2015,676.1,
12.10.2015,12,10,2015,676.1,
13.10.2015,13,10,2015,683.75,
14.10.2015,14,10,2015,679.8,
15.10.2015,15,10,2015,674,
16.10.2015,16,10,2015,675.1,
19.10.2015,19,10,2015,680.2,
20.10.2015,20,10,2015,687.75,
21.10.2015,21,10,2015,693.1,
22.10.2015,22,10,2015,689.05,
23.10.2015,23,10,2015,686.4,
26.10.2015,26,10,2015,688,
27.10.2015,27,10,2015,687.9,
28.10.2015,28,10,2015,687.8,
29.10.2015,29,10,2015,688.95,
30.10.2015,30,10,2015,691.7,
02.11.2015,2,11,2015,691.55,705.6595238
03.11.2015,3,11,2015,688.8,
04.11.2015,4,11,2015,692.1,
05.11.2015,5,11,2015,694.55,
06.11.2015,6,11,2015,697.85,
09.11.2015,9,11,2015,702.2,
10.11.2015,10,11,2015,700.1,
11.11.2015,11,11,2015,698.9,
12.11.2015,12,11,2015,701.85,
13.11.2015,13,11,2015,705.75,
16.11.2015,16,11,2015,712.62,
17.11.2015,17,11,2015,711.58,
18.11.2015,18,11,2015,714.83,
19.11.2015,19,11,2015,711.1,
20.11.2015,20,11,2015,713.45,
23.11.2015,23,11,2015,715.95,
24.11.2015,24,11,2015,711.85,
25.11.2015,25,11,2015,713.3,
26.11.2015,26,11,2015,714,
27.11.2015,27,11,2015,715.9,
30.11.2015,30,11,2015,710.62,
01.12.2015,1,12,2015,703,704.3191304
02.12.2015,2,12,2015,704.17,
03.12.2015,3,12,2015,701.28,
04.12.2015,4,12,2015,700.9,
